*** Avec FheUint512:
Mesures individuelles pour Addition:
Mesure 17: 2.154886784s
Mesure 18: 2.10722728s
Mesure 19: 2.104751917s
Mesure 20: 2.120970944s
Moyenne: 2.163818437s

*** Avec FheUint128:
Mesures individuelles pour Addition:
Mesure 1: 1.880103649s
Mesure 2: 1.850520002s
Mesure 3: 1.816846614s
Mesure 4: 1.876184588s
Mesure 5: 1.835984744s
Mesure 6: 1.894142145s
Mesure 7: 1.883793781s
Mesure 8: 1.763329488s
Mesure 9: 1.695844215s
Mesure 10: 1.700617068s
Moyenne: 1.819736629s

Mesures individuelles pour Soustraction:
Mesure 1: 1.635895983s
Mesure 2: 1.633972125s
Mesure 3: 1.625838747s
Mesure 4: 1.623535568s
Mesure 5: 1.661102685s
Mesure 6: 1.620165548s
Mesure 7: 1.694349227s
Mesure 8: 1.781318503s
Mesure 9: 1.865041006s
Mesure 10: 1.843219476s
Moyenne: 1.698443886s

Mesures individuelles pour Multiplication:
Mesure 1: 55.882105571s
Mesure 2: 55.741424556s
Mesure 3: 55.638773203s
Mesure 4: 55.798859639s
Mesure 5: 54.996909235s
Mesure 6: 55.180660786s
Mesure 7: 55.183855904s
Mesure 8: 54.902415563s
Mesure 9: 55.327007373s
Mesure 10: 55.24229485s
Moyenne: 55.389430668s

Mesures individuelles pour ET binaire:
Mesure 1: 490.236274ms
Mesure 2: 469.649487ms
Mesure 3: 473.506755ms
Mesure 4: 480.011178ms
Mesure 5: 467.589412ms
Mesure 6: 488.023051ms
Mesure 7: 479.287069ms
Mesure 8: 490.286846ms
Mesure 9: 477.654402ms
Mesure 10: 486.262398ms
Moyenne: 480.250687ms

Mesures individuelles pour OU binaire:
Mesure 1: 477.166882ms
Mesure 2: 473.201211ms
Mesure 3: 476.607947ms
Mesure 4: 532.606006ms
Mesure 5: 475.071698ms
Mesure 6: 498.072936ms
Mesure 7: 476.954904ms
Mesure 8: 483.532002ms
Mesure 9: 489.278217ms
Mesure 10: 489.364167ms
Moyenne: 487.185597ms

Mesures individuelles pour XOR binaire:
Mesure 1: 501.3282ms
Mesure 2: 480.090367ms
Mesure 3: 489.955625ms
Mesure 4: 508.7768ms
Mesure 5: 481.752394ms
Mesure 6: 476.109634ms
Mesure 7: 472.840415ms
Mesure 8: 479.662206ms
Mesure 9: 464.331916ms
Mesure 10: 504.932029ms
Moyenne: 485.977958ms

Mesures individuelles pour Egalité:
Mesure 1: 664.162416ms
Mesure 2: 678.641788ms
Mesure 3: 651.772855ms
Mesure 4: 681.594024ms
Mesure 5: 695.612453ms
Mesure 6: 661.942993ms
Mesure 7: 659.600678ms
Mesure 8: 668.33421ms
Mesure 9: 673.623558ms
Mesure 10: 668.408989ms
Moyenne: 670.369396ms

Mesures individuelles pour Inégalité:
Mesure 1: 679.890043ms
Mesure 2: 680.600237ms
Mesure 3: 679.140493ms
Mesure 4: 655.542804ms
Mesure 5: 654.531652ms
Mesure 6: 671.437443ms
Mesure 7: 664.599221ms
Mesure 8: 679.43303ms
Mesure 9: 649.438217ms
Mesure 10: 654.4769ms
Moyenne: 666.909004ms

Mesures individuelles pour Supérieur strictement:
Mesure 1: 1.003850251s
Mesure 2: 1.015674445s
Mesure 3: 1.009574544s
Mesure 4: 1.007407527s
Mesure 5: 980.030869ms
Mesure 6: 1.02456222s
Mesure 7: 997.643554ms
Mesure 8: 1.0024913s
Mesure 9: 996.635065ms
Mesure 10: 1.015999634s
Moyenne: 1.00538694s

Mesures individuelles pour Supérieur ou égal:
Mesure 1: 1.037432449s
Mesure 2: 1.062882059s
Mesure 3: 1.05437951s
Mesure 4: 1.091566361s
Mesure 5: 1.002096798s
Mesure 6: 1.020373207s
Mesure 7: 999.974445ms
Mesure 8: 1.006622299s
Mesure 9: 1.045002178s
Mesure 10: 1.014046904s
Moyenne: 1.033437621s

*** Avec FheUint64:
Mesures individuelles pour Addition:
Mesure 1: 836.119833ms
Mesure 2: 851.375958ms
Mesure 3: 837.983765ms
Mesure 4: 877.374163ms
Mesure 5: 839.576398ms
Mesure 6: 815.442515ms
Mesure 7: 830.108553ms
Mesure 8: 859.992872ms
Mesure 9: 817.951838ms
Mesure 10: 837.879865ms
Moyenne: 840.380576ms

Mesures individuelles pour Soustraction:
Mesure 1: 814.897247ms
Mesure 2: 803.023486ms
Mesure 3: 812.037822ms
Mesure 4: 805.984821ms
Mesure 5: 809.389167ms
Mesure 6: 820.393835ms
Mesure 7: 814.158551ms
Mesure 8: 822.079155ms
Mesure 9: 817.338195ms
Mesure 10: 811.438336ms
Moyenne: 813.074061ms

Mesures individuelles pour Multiplication:
Mesure 1: 14.109328298s
Mesure 2: 13.512202514s
Mesure 3: 13.439991207s
Mesure 4: 13.615880414s
Mesure 5: 13.520091118s
Mesure 6: 13.405744902s
Mesure 7: 13.401679629s
Mesure 8: 13.485193423s
Mesure 9: 13.638842489s
Mesure 10: 13.758267705s
Moyenne: 13.588722169s

Mesures individuelles pour ET binaire:
